date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:59:36	138/138	---M--	200	added ('OK')	image/gif	etag:%2221d-8a-4abb462eced40%22	http://help.semafora-systems.com/minus.gif	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/minus.gif	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:36	11524/11524	---M-Z	200	added ('OK')	text/html	etag:%222e2-2d04-4abb461f8c940%22	http://help.semafora-systems.com/uninstall.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/uninstall.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:36	10031/10031	---M-Z	200	added ('OK')	text/html	etag:%222c0-272f-4abb4601fc380%22	http://help.semafora-systems.com/start_ontostudio.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/start_ontostudio.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:37	15976/15976	---M-Z	200	added ('OK')	text/html	etag:%222ec-3e68-4abb462451480%22	http://help.semafora-systems.com/user_interface_of_ontostudio.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/user_interface_of_ontostudio.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:37	17515/17515	---M-Z	200	added ('OK')	text/html	etag:%222a-446b-4abb45166d7c0%22	http://help.semafora-systems.com/aditional_information.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/aditional_information.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:38	18120/18120	---M-Z	200	added ('OK')	text/html	etag:%22268-46c8-4abb45d1590c0%22	http://help.semafora-systems.com/preferences_menu.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/preferences_menu.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:38	11096/11096	---M-Z	200	added ('OK')	text/html	etag:%2228-2b58-4abb451579580%22	http://help.semafora-systems.com/adding_comments_and_labels.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/adding_comments_and_labels.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:38	10814/10814	---M-Z	200	added ('OK')	text/html	etag:%2224c-2a3e-4abb45bc5df40%22	http://help.semafora-systems.com/ontostudio_extension_points.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/ontostudio_extension_points.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:39	8371/8371	---M-Z	200	added ('OK')	text/html	etag:%221c1-20b3-4abb4563ace00%22	http://help.semafora-systems.com/extendabletreeprovider.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/extendabletreeprovider.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:39	9280/9280	---M-Z	200	added ('OK')	text/html	etag:%221c0-2440-4abb4561c4980%22	http://help.semafora-systems.com/extendabledrophandler_exte.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/extendabledrophandler_exte.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:39	7589/7589	---M-Z	200	added ('OK')	text/html	etag:%221ae-1da5-4abb45583b300%22	http://help.semafora-systems.com/entityproperties_extension.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/entityproperties_extension.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:40	19874/19874	---M-Z	200	added ('OK')	text/html	etag:%22258-4da2-4abb45c6db800%22	http://help.semafora-systems.com/org_neontoolkit_gui_extandable.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/org_neontoolkit_gui_extandable.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:40	13540/13540	---M-Z	200	added ('OK')	text/html	etag:%22257-34e4-4abb45c5e75c0%22	http://help.semafora-systems.com/org_neontoolkit_gui_extandabl2.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/org_neontoolkit_gui_extandabl2.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:40	19037/19037	---M-Z	200	added ('OK')	text/html	etag:%22256-4a5d-4abb45c4f3380%22	http://help.semafora-systems.com/org_neontoolkit_gui_entityprop.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/org_neontoolkit_gui_entityprop.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:41	10683/10683	---M-Z	200	added ('OK')	text/html	etag:%2224d-29bb-4abb45bc5df40%22	http://help.semafora-systems.com/ontostudio_mapping_extension_p.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/ontostudio_mapping_extension_p.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:41	17224/17224	---M-Z	200	added ('OK')	text/html	etag:%22243-4348-4abb45b799400%22	http://help.semafora-systems.com/ontomapmappingtransformationed.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/ontomapmappingtransformationed.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:42	18867/18867	---M-Z	200	added ('OK')	text/html	etag:%22242-49b3-4abb45b6a51c0%22	http://help.semafora-systems.com/ontomapcomplexmappingextension.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/ontomapcomplexmappingextension.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:42	9041/9041	---M-Z	200	added ('OK')	text/html	etag:%225e-2351-4abb4522d3500%22	http://help.semafora-systems.com/birt.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/birt.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:43	23984/23984	---M-Z	200	added ('OK')	text/html	etag:%22189-5db0-4abb453d87400%22	http://help.semafora-systems.com/creating_a_report_with_birt.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/creating_a_report_with_birt.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:43	12067/12067	---M-Z	200	added ('OK')	text/html	etag:%2219d-2f23-4abb454dbda40%22	http://help.semafora-systems.com/deploying_a_report_on_tomcat.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/deploying_a_report_on_tomcat.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:43	8730/8730	---M-Z	200	added ('OK')	text/html	etag:%221f6-221a-4abb457d6cac0%22	http://help.semafora-systems.com/input_parameters_for_birt.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/input_parameters_for_birt.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:43	32137/32137	---M-Z	200	added ('OK')	text/html	etag:%22188-7d89-4abb453c931c0%22	http://help.semafora-systems.com/creating_a_report_displaying_a.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/creating_a_report_displaying_a.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:44	12557/12557	---M-Z	200	added ('OK')	text/html	etag:%221c9-310d-4abb45677d700%22	http://help.semafora-systems.com/f_logic_perspective.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/f_logic_perspective.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:44	8032/8032	---M-Z	200	added ('OK')	text/html	etag:%2223e-1f60-4abb45b4bcd40%22	http://help.semafora-systems.com/ontology_navigator.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/ontology_navigator.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:44	13405/13405	---M-Z	200	added ('OK')	text/html	etag:%221ad-345d-4abb4557470c0%22	http://help.semafora-systems.com/entity_properties.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/entity_properties.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:44	19012/19012	---M-Z	200	added ('OK')	text/html	etag:%22230-4a44-4abb45ad1bb40%22	http://help.semafora-systems.com/objectlogic_concepts.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/objectlogic_concepts.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:45	14877/14877	---M-Z	200	added ('OK')	text/html	etag:%22231-3a1d-4abb45ad1bb40%22	http://help.semafora-systems.com/objectlogic_instances.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/objectlogic_instances.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:45	11401/11401	---M-Z	200	added ('OK')	text/html	etag:%22232-2c89-4abb45ad1bb40%22	http://help.semafora-systems.com/objectlogic_relations.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/objectlogic_relations.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:45	9739/9739	---M-Z	200	added ('OK')	text/html	etag:%22240-260b-4abb45b6a51c0%22	http://help.semafora-systems.com/ontology_validation.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/ontology_validation.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:45	8521/8521	---M-Z	200	added ('OK')	text/html	etag:%221c8-2149-4abb45677d700%22	http://help.semafora-systems.com/f_logic_editor.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/f_logic_editor.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:46	13318/13318	---M-Z	200	added ('OK')	text/html	etag:%22241-3406-4abb45b6a51c0%22	http://help.semafora-systems.com/ontology_visualizer.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/ontology_visualizer.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:46	7712/7712	---M-Z	200	added ('OK')	text/html	etag:%221de-1e20-4abb457106d80%22	http://help.semafora-systems.com/graph_view.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/graph_view.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:47	12378/12378	---M-Z	200	added ('OK')	text/html	etag:%22176-305a-4abb453215900%22	http://help.semafora-systems.com/collaboration.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/collaboration.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:47	16508/16508	---M-Z	200	added ('OK')	text/html	etag:%222f8-407c-4abb462afe440%22	http://help.semafora-systems.com/webservices.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/webservices.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:48	14768/14768	---M-Z	200	added ('OK')	text/html	etag:%221df-39b0-4abb457106d80%22	http://help.semafora-systems.com/graphical_rule_editor.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/graphical_rule_editor.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:48	8768/8768	---M-Z	200	added ('OK')	text/html	etag:%2229d-2240-4abb45ed01200%22	http://help.semafora-systems.com/rule_activation.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/rule_activation.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:48	10604/10604	---M-Z	200	added ('OK')	text/html	etag:%221b8-296c-4abb455cffe40%22	http://help.semafora-systems.com/explanation_editor.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/explanation_editor.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:48	9478/9478	---M-Z	200	added ('OK')	text/html	etag:%22215-2506-4abb45a0b5e00%22	http://help.semafora-systems.com/materialization_of_rules.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/materialization_of_rules.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:49	20023/20023	---M-Z	200	added ('OK')	text/html	etag:%221e0-4e37-4abb4571fafc0%22	http://help.semafora-systems.com/graphical_rule_editor2.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/graphical_rule_editor2.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
10:59:49	8125/8125	---M-Z	200	added ('OK')	text/html	etag:%2229f-1fbd-4abb45edf5440%22	http://help.semafora-systems.com/rule_debug_perspective.htm	C:/Users/Bernd/OneDrive%20-%20TheGeigers/Documents/000%20semafora/000%20Web/help.semafora-systems.com/help.semafora-systems.com/rule_debug_perspective.html	(from http://help.semafora-systems.com/ontoprise_content_static.html)
